Livestock,Area,Year,Value,Flags
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2010",3640914,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2011",3884257,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2012",3879543,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2013",3688639,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2014",3852118,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2015",4055408,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2016",4398286,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2017",4627959,
"Total sheep","Total New Zealand","As at June 30 1994",49466054,
"Total sheep","Total New Zealand","As at June 30 2002",39571837,
"Total sheep","Total New Zealand","As at June 30 2003",39552113,
"Total sheep","Total New Zealand","As at June 30 2004",39271137,
"Total sheep","Total New Zealand","As at June 30 2005",39879668,
"Total sheep","Total New Zealand","As at June 30 2006",40081594,
"Total sheep","Total New Zealand","As at June 30 2007",38460477,
"Total sheep","Total New Zealand","As at June 30 2008",34087864,
"Total sheep","Total New Zealand","As at June 30 2009",32383589,
"Total sheep","Total New Zealand","As at June 30 2010",32562612,
"Total sheep","Total New Zealand","As at June 30 2011",31132329,
"Total sheep","Total New Zealand","As at June 30 2012",31262715,
"Total sheep","Total New Zealand","As at June 30 2013",30786761,
"Total sheep","Total New Zealand","As at June 30 2014",29803402,
"Total sheep","Total New Zealand","As at June 30 2015",29120827,
"Total sheep","Total New Zealand","As at June 30 2016",27583673,
"Total sheep","Total New Zealand","As at June 30 2017",27526537,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 1994",36243948,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2002",32647387,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2003",33247115,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2004",31853940,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2005",33225836,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2006",33809880,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2007",33005451,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2008",31020153,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2009",27888325,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2010",28152100,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2011",24967363,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2012",25954154,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2013",25966837,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2014",24976628,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2015",25832974,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2016",24570347,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2017",24127372,
"Total deer","Total New Zealand","As at June 30 1994",1231109,
"Total deer","Total New Zealand","As at June 30 2002",1647938,
"Total deer","Total New Zealand","As at June 30 2003",1689444,
"Total deer","Total New Zealand","As at June 30 2004",1756888,
"Total deer","Total New Zealand","As at June 30 2005",1705084,
"Total deer","Total New Zealand","As at June 30 2006",1586918,
"Total deer","Total New Zealand","As at June 30 2007",1396023,
"Total deer","Total New Zealand","As at June 30 2008",1223324,
"Total deer","Total New Zealand","As at June 30 2009",1145858,
"Total deer","Total New Zealand","As at June 30 2010",1122695,
"Total deer","Total New Zealand","As at June 30 2011",1088533,
"Total deer","Total New Zealand","As at June 30 2012",1060694,
"Total deer","Total New Zealand","As at June 30 2013",1028382,
"Total deer","Total New Zealand","As at June 30 2014",958219,
"Total deer","Total New Zealand","As at June 30 2015",900100,
"Total deer","Total New Zealand","As at June 30 2016",834608,
"Total deer","Total New Zealand","As at June 30 2017",836337,
"Fawns weaned","Total New Zealand","As at June 30 1994",370496,
"Fawns weaned","Total New Zealand","As at June 30 2002",654710,
"Fawns weaned","Total New Zealand","As at June 30 2003",670370,
"Fawns weaned","Total New Zealand","As at June 30 2004",699719,
"Fawns weaned","Total New Zealand","As at June 30 2005",648446,
"Fawns weaned","Total New Zealand","As at June 30 2006",595782,
"Fawns weaned","Total New Zealand","As at June 30 2007",536604,
"Fawns weaned","Total New Zealand","As at June 30 2008",494163,
"Fawns weaned","Total New Zealand","As at June 30 2009",431921,
"Fawns weaned","Total New Zealand","As at June 30 2010",428470,
"Fawns weaned","Total New Zealand","As at June 30 2011",426660,
"Fawns weaned","Total New Zealand","As at June 30 2012",413283,
"Fawns weaned","Total New Zealand","As at June 30 2013",398938,
"Fawns weaned","Total New Zealand","As at June 30 2014",375146,
"Fawns weaned","Total New Zealand","As at June 30 2015",352568,
"Fawns weaned","Total New Zealand","As at June 30 2016",321031,
"Fawns weaned","Total New Zealand","As at June 30 2017",313212,
"Total pigs","Total New Zealand","As at June 30 1994",422766,
"Total pigs","Total New Zealand","As at June 30 2002",342015,
"Total pigs","Total New Zealand","As at June 30 2003",377249,
"Total pigs","Total New Zealand","As at June 30 2004",388640,
"Total pigs","Total New Zealand","As at June 30 2005",341465,
"Total pigs","Total New Zealand","As at June 30 2006",355501,
"Total pigs","Total New Zealand","As at June 30 2007",366671,
"Total pigs","Total New Zealand","As at June 30 2008",324594,
"Total pigs","Total New Zealand","As at June 30 2009",322788,
"Total pigs","Total New Zealand","As at June 30 2010",335114,
"Total pigs","Total New Zealand","As at June 30 2011",326788,
"Total pigs","Total New Zealand","As at June 30 2012",313703,
"Total pigs","Total New Zealand","As at June 30 2013",297724,
"Total pigs","Total New Zealand","As at June 30 2014",286971,
"Total pigs","Total New Zealand","As at June 30 2015",268300,
"Total pigs","Total New Zealand","As at June 30 2016",254607,
"Total pigs","Total New Zealand","As at June 30 2017",273860,
"Piglets weaned","Total New Zealand","As at June 30 2003",778708,
"Piglets weaned","Total New Zealand","As at June 30 2004",803691,
"Piglets weaned","Total New Zealand","As at June 30 2005",731131,
"Piglets weaned","Total New Zealand","As at June 30 2006",757448,
"Piglets weaned","Total New Zealand","As at June 30 2007",787756,
"Piglets weaned","Total New Zealand","As at June 30 2008",763059,
"Piglets weaned","Total New Zealand","As at June 30 2009",725737,
"Piglets weaned","Total New Zealand","As at June 30 2010",722666,
"Piglets weaned","Total New Zealand","As at June 30 2011",748922,
"Piglets weaned","Total New Zealand","As at June 30 2012",733425,
"Piglets weaned","Total New Zealand","As at June 30 2013",662466,
"Piglets weaned","Total New Zealand","As at June 30 2014",636922,
"Piglets weaned","Total New Zealand","As at June 30 2015",571223,
"Piglets weaned","Total New Zealand","As at June 30 2016",562173,
"Piglets weaned","Total New Zealand","As at June 30 2017",614787,
"Total horses","Total New Zealand","As at June 30 1994",67843,
"Total horses","Total New Zealand","As at June 30 2002",75856,
"Total horses","Total New Zealand","As at June 30 2003",80397,
"Total horses","Total New Zealand","As at June 30 2004",76918,
"Total horses","Total New Zealand","As at June 30 2007",66215,
"Total horses","Total New Zealand","As at June 30 2008",62511,
"Total horses","Total New Zealand","As at June 30 2009",65149,
"Total horses","Total New Zealand","As at June 30 2010",64105,
"Total horses","Total New Zealand","As at June 30 2011",56505,
"Total horses","Total New Zealand","As at June 30 2012",56878,
"Total horses","Total New Zealand","As at June 30 2013",57427,
"Total horses","Total New Zealand","As at June 30 2014",51611,
"Total horses","Total New Zealand","As at June 30 2015",40935,
"Total horses","Total New Zealand","As at June 30 2016",48801,
"Total horses","Total New Zealand","As at June 30 2017",43684,
"Total beef cattle","Total North Island","As at June 30 1994",3907051,
"Total beef cattle","Total North Island","As at June 30 2002",3343135,
"Total beef cattle","Total North Island","As at June 30 2003",3400859,
"Total beef cattle","Total North Island","As at June 30 2004",3281041,
"Total beef cattle","Total North Island","As at June 30 2005",3249727,
"Total beef cattle","Total North Island","As at June 30 2006",3258533,
"Total beef cattle","Total North Island","As at June 30 2007",3148194,
"Total beef cattle","Total North Island","As at June 30 2008",2966122,
"Total beef cattle","Total North Island","As at June 30 2009",2896476,
"Total beef cattle","Total North Island","As at June 30 2010",2837251,
"Total beef cattle","Total North Island","As at June 30 2011",2744850,
"Total beef cattle","Total North Island","As at June 30 2012",2659543,
"Total beef cattle","Total North Island","As at June 30 2013",2621164,
"Total beef cattle","Total North Island","As at June 30 2014",2604422,
"Total beef cattle","Total North Island","As at June 30 2015",2523931,
"Total beef cattle","Total North Island","As at June 30 2016",2508814,
"Total beef cattle","Total North Island","As at June 30 2017",2576824,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 1994",958590,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2002",758076,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2003",745443,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2004",700638,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2005",702654,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2006",682391,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2007",679862,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2008",644137,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2009",574427,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2010",584180,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2011",573794,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2012",536025,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2013",527783,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2014",484167,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2015",553145,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2016",538317,
"Calves born alive to beef heifers/cows","Total North Island","As at June 30 2017",535956,
"Total dairy cattle","Total North Island","As at June 30 1994",3277670,
"Total dairy cattle","Total North Island","As at June 30 2002",3831529,
"Total dairy cattle","Total North Island","As at June 30 2003",3792582,
"Total dairy cattle","Total North Island","As at June 30 2004",3787210,
"Total dairy cattle","Total North Island","As at June 30 2005",3731709,
"Total dairy cattle","Total North Island","As at June 30 2006",3714682,
"Total dairy cattle","Total North Island","As at June 30 2007",3612916,
"Total dairy cattle","Total North Island","As at June 30 2008",3757557,
"Total dairy cattle","Total North Island","As at June 30 2009",3796485,
"Total dairy cattle","Total North Island","As at June 30 2010",3857019,
"Total dairy cattle","Total North Island","As at June 30 2011",3962614,
"Total dairy cattle","Total North Island","As at June 30 2012",3957916,
"Total dairy cattle","Total North Island","As at June 30 2013",3912003,
"Total dairy cattle","Total North Island","As at June 30 2014",3978828,
"Total dairy cattle","Total North Island","As at June 30 2015",3819694,
"Total dairy cattle","Total North Island","As at June 30 2016",4057348,
"Total dairy cattle","Total North Island","As at June 30 2017",3956282,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 1994",2121027,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2002",2484030,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2003",2405855,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2004",2427374,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2005",2459977,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2006",2434989,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2007",2365097,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2008",2421990,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2009",2455195,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2010",2442137,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2011",2563099,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2012",2493988,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2013",2347829,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2014",2388263,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2015",2537609,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2016",2648639,
"Calves born alive to dairy heifers/cows","Total North Island","As at June 30 2017",2799886,
"Total sheep","Total North Island","As at June 30 1994",22516394,
"Total sheep","Total North Island","As at June 30 2002",18440251,
"Total sheep","Total North Island","As at June 30 2003",18410006,
"Total sheep","Total North Island","As at June 30 2004",18734141,
"Total sheep","Total North Island","As at June 30 2005",19030764,
"Total sheep","Total North Island","As at June 30 2006",19540453,
"Total sheep","Total North Island","As at June 30 2007",18542263,
"Total sheep","Total North Island","As at June 30 2008",16988328,
"Total sheep","Total North Island","As at June 30 2009",16077872,
"Total sheep","Total North Island","As at June 30 2010",16029077,
"Total sheep","Total North Island","As at June 30 2011",15460626,
"Total sheep","Total North Island","As at June 30 2012",15267450,
"Total sheep","Total North Island","As at June 30 2013",14958467,
"Total sheep","Total North Island","As at June 30 2014",14362495,
"Total sheep","Total North Island","As at June 30 2015",14511616,
"Total sheep","Total North Island","As at June 30 2016",13693541,
"Total sheep","Total North Island","As at June 30 2017",13619105,
"Total lambs marked and/or tailed","Total North Island","As at June 30 1994",15284407,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2002",14722560,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2003",15039867,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2004",14465290,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2005",15534317,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2006",15849845,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2007",15720815,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2008",14383859,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2009",13053607,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2010",13196833,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2011",12092055,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2012",12219337,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2013",12388344,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2014",11207777,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2015",12562038,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2016",12079706,
"Total lambs marked and/or tailed","Total North Island","As at June 30 2017",11645673,
"Total deer","Total North Island","As at June 30 1994",615115,
"Total deer","Total North Island","As at June 30 2002",597579,
"Total deer","Total North Island","As at June 30 2003",605249,
"Total deer","Total North Island","As at June 30 2004",609728,
"Total deer","Total North Island","As at June 30 2005",551964,
"Total deer","Total North Island","As at June 30 2006",490782,
"Total deer","Total North Island","As at June 30 2007",430171,
"Total deer","Total North Island","As at June 30 2008",375163,
"Total deer","Total North Island","As at June 30 2009",352589,
"Total deer","Total North Island","As at June 30 2010",331884,
"Total deer","Total North Island","As at June 30 2011",324934,
"Total deer","Total North Island","As at June 30 2012",320002,
"Total deer","Total North Island","As at June 30 2013",321100,
"Total deer","Total North Island","As at June 30 2014",289954,
"Total deer","Total North Island","As at June 30 2015",283778,
"Total deer","Total North Island","As at June 30 2016",252271,
"Total deer","Total North Island","As at June 30 2017",244729,
"Fawns weaned","Total North Island","As at June 30 1994",182520,
"Fawns weaned","Total North Island","As at June 30 2002",227965,
"Fawns weaned","Total North Island","As at June 30 2003",229592,
"Fawns weaned","Total North Island","As at June 30 2004",234486,
"Fawns weaned","Total North Island","As at June 30 2005",205279,
"Fawns weaned","Total North Island","As at June 30 2006",174575,
"Fawns weaned","Total North Island","As at June 30 2007",153806,
"Fawns weaned","Total North Island","As at June 30 2008",136848,
"Fawns weaned","Total North Island","As at June 30 2009",124530,
"Fawns weaned","Total North Island","As at June 30 2010",116241,
"Fawns weaned","Total North Island","As at June 30 2011",117161,
"Fawns weaned","Total North Island","As at June 30 2012",114015,
"Fawns weaned","Total North Island","As at June 30 2013",118299,
"Fawns weaned","Total North Island","As at June 30 2014",103541,
"Fawns weaned","Total North Island","As at June 30 2015",109993,
"Fawns weaned","Total North Island","As at June 30 2016",88592,
"Fawns weaned","Total North Island","As at June 30 2017",83331,
"Total pigs","Total North Island","As at June 30 1994",210673,
"Total pigs","Total North Island","As at June 30 2002",161149,
"Total pigs","Total North Island","As at June 30 2003",166990,
"Total pigs","Total North Island","As at June 30 2004",168848,
"Total pigs","Total North Island","As at June 30 2005",129479,
"Total pigs","Total North Island","As at June 30 2006",141845,
"Total pigs","Total North Island","As at June 30 2007",135793,
"Total pigs","Total North Island","As at June 30 2008",124799,
"Total pigs","Total North Island","As at June 30 2009",137482,
"Total pigs","Total North Island","As at June 30 2010",140304,
"Total pigs","Total North Island","As at June 30 2011",135757,
"Total pigs","Total North Island","As at June 30 2012",126341,
"Total pigs","Total North Island","As at June 30 2013",102270,
"Total pigs","Total North Island","As at June 30 2014",98676,
"Total pigs","Total North Island","As at June 30 2015",105256,
"Total pigs","Total North Island","As at June 30 2016",99288,
"Total pigs","Total North Island","As at June 30 2017",87151,
"Piglets weaned","Total North Island","As at June 30 2003",319802,
"Piglets weaned","Total North Island","As at June 30 2004",349545,
"Piglets weaned","Total North Island","As at June 30 2005",268795,
"Piglets weaned","Total North Island","As at June 30 2006",299436,
"Piglets weaned","Total North Island","As at June 30 2007",296367,
"Piglets weaned","Total North Island","As at June 30 2008",270191,
"Piglets weaned","Total North Island","As at June 30 2009",289560,
"Piglets weaned","Total North Island","As at June 30 2010",295565,
"Piglets weaned","Total North Island","As at June 30 2011",292563,
"Piglets weaned","Total North Island","As at June 30 2012",273903,
"Piglets weaned","Total North Island","As at June 30 2013",243037,
"Piglets weaned","Total North Island","As at June 30 2014",223720,
"Piglets weaned","Total North Island","As at June 30 2015",201404,
"Piglets weaned","Total North Island","As at June 30 2016",216856,
"Piglets weaned","Total North Island","As at June 30 2017",192940,
"Total horses","Total North Island","As at June 30 1994",46575,
"Total horses","Total North Island","As at June 30 2002",51419,
"Total horses","Total North Island","As at June 30 2003",55543,
"Total horses","Total North Island","As at June 30 2004",53657,
"Total horses","Total North Island","As at June 30 2007",43063,
"Total horses","Total North Island","As at June 30 2008",43452,
"Total horses","Total North Island","As at June 30 2009",42663,
"Total horses","Total North Island","As at June 30 2010",41102,
"Total horses","Total North Island","As at June 30 2011",37520,
"Total horses","Total North Island","As at June 30 2012",37733,
"Total horses","Total North Island","As at June 30 2013",38412,
"Total horses","Total North Island","As at June 30 2014",35720,
"Total horses","Total North Island","As at June 30 2015",27403,
"Total horses","Total North Island","As at June 30 2016",32995,
"Total horses","Total North Island","As at June 30 2017",30534,
"Total beef cattle","Northland","As at June 30 1994",574072,
"Total beef cattle","Northland","As at June 30 2002",468432,
"Total beef cattle","Northland","As at June 30 2003",478201,
"Total beef cattle","Northland","As at June 30 2004",451849,
"Total beef cattle","Northland","As at June 30 2005",469262,
"Total beef cattle","Northland","As at June 30 2006",490788,
"Total beef cattle","Northland","As at June 30 2007",495833,
"Total beef cattle","Northland","As at June 30 2008",507540,
"Total beef cattle","Northland","As at June 30 2009",485231,
"Total beef cattle","Northland","As at June 30 2010",465169,
"Total beef cattle","Northland","As at June 30 2011",402434,
"Total beef cattle","Northland","As at June 30 2012",380719,
"Total beef cattle","Northland","As at June 30 2013",396376,
"Total beef cattle","Northland","As at June 30 2014",349850,
"Total beef cattle","Northland","As at June 30 2015",354569,
"Total beef cattle","Northland","As at June 30 2016",356823,
"Total beef cattle","Northland","As at June 30 2017",382957,
"Calves born alive to beef heifers/cows","Northland","As at June 30 1994",136047,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2002",107864,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2003",104125,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2004",94213,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2005",96057,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2006",84903,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2007",92656,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2008",91637,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2009",92234,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2010",95207,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2011",79977,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2012",74188,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2013",70778,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2014",61596,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2015",69242,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2016",74671,
"Calves born alive to beef heifers/cows","Northland","As at June 30 2017",71479,
"Total dairy cattle","Northland","As at June 30 1994",356561,
"Total dairy cattle","Northland","As at June 30 2002",405387,
"Total dairy cattle","Northland","As at June 30 2003",374019,
"Total dairy cattle","Northland","As at June 30 2004",399064,
"Total dairy cattle","Northland","As at June 30 2005",343195,
"Total dairy cattle","Northland","As at June 30 2006",378152,
"Total dairy cattle","Northland","As at June 30 2007",367183,
"Total dairy cattle","Northland","As at June 30 2008",392193,
"Total dairy cattle","Northland","As at June 30 2009",392577,
"Total dairy cattle","Northland","As at June 30 2010",353314,
"Total dairy cattle","Northland","As at June 30 2011",384636,
"Total dairy cattle","Northland","As at June 30 2012",397764,
"Total dairy cattle","Northland","As at June 30 2013",383057,
"Total dairy cattle","Northland","As at June 30 2014",352834,
"Total dairy cattle","Northland","As at June 30 2015",380616,
"Total dairy cattle","Northland","As at June 30 2016",404415,
"Total dairy cattle","Northland","As at June 30 2017",379401,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 1994",230537,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2002",259561,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2003",227606,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2005",227263,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2006",244812,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2007",234636,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2008",248868,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2009",237775,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2010",231512,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2011",235835,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2012",241340,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2013",212314,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2014",220164,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2015",245042,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2016",273963,
"Calves born alive to dairy heifers/cows","Northland","As at June 30 2017",250527,
"Total sheep","Northland","As at June 30 1994",814163,
"Total sheep","Northland","As at June 30 2002",522189,
"Total sheep","Northland","As at June 30 2003",530059,
"Total sheep","Northland","As at June 30 2004",494357,
"Total sheep","Northland","As at June 30 2005",556734,
"Total sheep","Northland","As at June 30 2006",525830,
"Total sheep","Northland","As at June 30 2007",534452,
"Total sheep","Northland","As at June 30 2008",504286,
"Total sheep","Northland","As at June 30 2009",429401,
"Total sheep","Northland","As at June 30 2010",430740,
"Total sheep","Northland","As at June 30 2011",400480,
"Total sheep","Northland","As at June 30 2012",440955,
"Total sheep","Northland","As at June 30 2013",427281,
"Total sheep","Northland","As at June 30 2014",331251,
"Total sheep","Northland","As at June 30 2015",381256,
"Total sheep","Northland","As at June 30 2016",366197,
"Total sheep","Northland","As at June 30 2017",328033,
"Total lambs marked and/or tailed","Northland","As at June 30 1994",525604,
"Total lambs marked and/or tailed","Northland","As at June 30 2002",393274,
"Total lambs marked and/or tailed","Northland","As at June 30 2003",361677,
"Total lambs marked and/or tailed","Northland","As at June 30 2004",373150,
"Total lambs marked and/or tailed","Northland","As at June 30 2005",390915,
"Total lambs marked and/or tailed","Northland","As at June 30 2006",371081,
"Total lambs marked and/or tailed","Northland","As at June 30 2007",378918,
